,source,target,edge,sentence
1005,Actor,environmental COP26 summit,arrived in,Actor and environmental campaigner Leonardo DiCaprio has arrived in Glasgow for the COP26 summit.
1006,who,main conference centre,seen at,"The Hollywood star, who is a UN climate change representative, was seen at the Kew Carbon Garden exhibit on Tuesday at the main conference centre."
1007,he,building,mobbed by,"He was mobbed by journalists, fans and delegates as he entered the building."
1008,Titanic  star,also charity Rewriting Extinction,took,"The Titanic star also took part in a fringe event on Monday, posing with film producer Paul Goodenough, founder of charity Rewriting Extinction."
1009,Glaswegians,Greggs Hollywood Maryhill,expressed mock,"Glaswegians expressed mock surprise at sightings of the Hollywood superstar and other famous faces, with one local tweeting: ""President of the USA outside Greggs and Leonardo DiCaprio in Maryhill."
1010,Glasgow,moment,is,What is this alternative reality Glasgow is living in at the moment?
1011,200  countries,2030,attended by,"""The COP26 summit is being attended by leaders from around the world, with 200 countries being asked for their plans to cut emissions by 2030."
1012,DiCaprio,natural  materials,donated,DiCaprio has donated millions to environmental organisations and backed ventures such as those producing trainers made from natural materials.
1013,when campaigner Greta they,2019,described,"He also described campaigner Greta Thunberg as a ""leader of our time"" when they met in 2019."
1014,2016  he,entire climate species,made,"At the 2016 Oscars, he made a speech declaring climate change to be ""the most urgent threat facing our entire species""."
1015,much  he,Forbes website,declared,"However, at the time, an article published on Forbes website declared the actor's decadent lifestyle meant his ""carbon footprint is much higher than he thinks."
1016,actor,2016 National Flood,expressed,"""The actor expressed concern himself about this in his 2016 documentary for National Geographic, Before the Flood."
1017,how  actor,Scotland,photographed,DiCaprio has recently been photographed flying commercially rather than by private jet although it's not known how the actor travelled to Scotland this week.
1018,Once  Wolf,Wall Street,known for,"The 46-year-old is best known for hit films including The Revenant, Once Upon A Time In Hollywood, The Wolf of Wall Street, Shutter Island, Inception, The Great Gatsby, Blood Diamond and Django Unchained."
1019,,COP26 summit,Read more,Read more about the COP26 summit here.
